City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Ponta Do Sol,PT,2022-09-14 18:19:52,32.6667,-17.1,78.71,70,33,9.6
212,Port-Gentil,GA,2022-09-14 18:19:53,-0.7193,8.7815,78.76,83,40,12.66
213,Bathsheba,BB,2022-09-14 18:19:53,13.2167,-59.5167,90.21,62,20,16.11
214,Wajima,JP,2022-09-14 18:19:53,37.4,136.9,71.58,75,97,9.15
215,Alofi,NU,2022-09-14 18:15:23,-19.0595,-169.9187,71.49,94,95,4.61
216,Grand Gaube,MU,2022-09-14 18:19:54,-20.0064,57.6608,72.0,72,70,4.0
217,Mitu,CO,2022-09-14 18:19:54,1.1983,-70.1733,87.4,58,65,3.6
218,Tukrah,LY,2022-09-14 18:19:54,32.5341,20.5791,77.88,57,0,11.48
219,Gasa,PS,2022-09-14 18:19:55,31.5,34.4667,73.89,56,0,5.66
220,Sao Caetano De Odivelas,BR,2022-09-14 18:19:55,-0.75,-48.02,83.43,71,39,12.55
221,Povenets,RU,2022-09-14 18:19:55,62.8487,34.8262,53.47,77,99,11.25
222,Huarmey,PE,2022-09-14 18:19:56,-10.0681,-78.1522,67.71,67,61,10.8
223,Odweyne,SO,2022-09-14 18:19:56,9.4092,45.064,70.88,80,94,5.84
224,Klyuchi,RU,2022-09-14 18:19:56,52.2667,79.1667,44.83,58,46,8.05
225,Arkhangelsk,RU,2022-09-14 18:19:57,64.5401,40.5433,48.31,81,20,6.71
226,Fort Nelson,CA,2022-09-14 18:15:46,58.8053,-122.7002,54.99,54,40,2.3
227,Talnakh,RU,2022-09-14 18:19:57,69.4865,88.3972,36.21,99,100,8.21
228,Laguna,US,2022-09-14 18:18:44,38.421,-121.4238,74.32,55,0,11.5
229,Cooma,AU,2022-09-14 18:19:58,-36.2333,149.1333,39.13,95,100,3.31
230,Otradnoye,RU,2022-09-14 18:19:58,59.7775,30.8181,55.04,87,100,7.47
231,Kalmunai,LK,2022-09-14 18:19:58,7.4167,81.8167,79.63,79,49,12.15
232,Erenhot,CN,2022-09-14 18:19:59,43.6475,111.9767,72.05,30,67,7.7
233,Vila Velha,BR,2022-09-14 18:19:59,-20.3297,-40.2925,84.15,81,0,8.05
234,Saint-Philippe,RE,2022-09-14 18:19:59,-21.3585,55.7679,69.39,74,90,8.08
235,Tsogni,GA,2022-09-14 18:19:59,-2.7942,10.0988,74.52,81,45,7.83
236,Durango,MX,2022-09-14 18:19:43,24.8333,-104.8333,72.48,43,90,7.96
237,Fengrun,CN,2022-09-14 18:20:00,39.8333,118.1167,64.33,80,14,4.68
238,Conceicao Do Araguaia,BR,2022-09-14 18:20:00,-8.2578,-49.2647,104.61,13,5,5.88
239,Cape Town,ZA,2022-09-14 18:20:00,-33.9258,18.4232,62.28,86,75,17.27
240,Nelson Bay,AU,2022-09-14 18:20:01,-32.7167,152.15,57.99,89,97,5.99
241,Yeppoon,AU,2022-09-14 18:20:01,-23.1333,150.7333,60.58,77,9,8.95
242,Thinadhoo,MV,2022-09-14 18:20:01,0.5333,72.9333,82.0,70,21,6.73
243,Cayenne,GF,2022-09-14 18:17:05,4.9333,-52.3333,89.64,62,100,11.5
244,Uglekamensk,RU,2022-09-14 18:20:02,43.2172,133.2303,53.11,95,100,2.42
245,Toul,FR,2022-09-14 18:20:03,48.6667,5.9167,68.09,88,51,6.91
246,Lata,PT,2022-09-14 18:20:04,40.1629,-8.3327,72.07,88,86,4.23
247,Upernavik,GL,2022-09-14 18:20:04,72.7868,-56.1549,40.73,96,100,4.76
248,Soyo,AO,2022-09-14 18:20:05,-6.1349,12.3689,74.32,81,78,8.79
249,Samarai,PG,2022-09-14 18:20:05,-10.6167,150.6667,79.18,84,57,14.63
250,Kavaratti,IN,2022-09-14 18:20:05,10.5669,72.642,80.78,81,90,10.04
251,Balakovo,RU,2022-09-14 18:20:06,52.0278,47.8007,55.65,86,100,18.63
252,Maputo,MZ,2022-09-14 18:16:58,-25.9653,32.5892,68.23,78,40,9.22
