City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
399,Biltine,14.5333,20.9167,78.75,75,99,10.04,TD,2022-09-16 18:21:08,moderate rain
400,Kaka,37.3482,59.6143,77.13,37,8,5.73,TM,2022-09-16 18:18:07,clear sky
401,Garoua,9.3,13.4,74.53,91,97,5.95,CM,2022-09-16 18:21:09,overcast clouds
402,Dvinskoy,62.1535,45.1175,49.71,98,97,6.4,RU,2022-09-16 18:21:09,overcast clouds
403,Beloha,-25.1667,45.05,72.21,69,33,7.4,MG,2022-09-16 18:21:09,scattered clouds
404,Sumbe,-11.2061,13.8437,72.41,83,59,7.49,AO,2022-09-16 18:20:10,broken clouds
405,Viedma,-40.8135,-62.9967,77.07,19,100,17.83,AR,2022-09-16 18:21:10,overcast clouds
406,Inta,66.0317,60.1659,53.71,69,100,10.29,RU,2022-09-16 18:21:10,overcast clouds
407,Harper,4.375,-7.7169,77.22,83,93,12.01,LR,2022-09-16 18:21:11,overcast clouds
408,Laureles,26.1092,-97.4941,91.38,64,75,10.36,US,2022-09-16 18:21:11,broken clouds
409,Mbanza-Ngungu,-5.25,14.8667,77.18,59,72,5.99,CD,2022-09-16 18:21:11,broken clouds
410,Santa Isabel Do Rio Negro,-0.4139,-65.0192,86.72,67,72,2.71,BR,2022-09-16 18:21:13,heavy intensity rain
411,Tazovskiy,67.4667,78.7,38.43,68,100,10.31,RU,2022-09-16 18:21:13,overcast clouds
412,Frontino,6.7801,-76.1288,76.1,68,100,3.29,CO,2022-09-16 18:21:13,overcast clouds
413,Gualeguaychu,-33.0094,-58.5172,73.94,40,71,16.35,AR,2022-09-16 18:21:14,broken clouds
414,Iskateley,67.6803,53.1512,49.96,93,100,10.18,RU,2022-09-16 18:21:15,light rain
415,Khorramshahr,30.4397,48.1664,89.56,23,0,11.5,IR,2022-09-16 18:21:15,clear sky
416,Roxana,10.2753,-83.7513,88.2,59,93,1.92,CR,2022-09-16 18:21:15,overcast clouds
417,Gat,31.61,34.7642,79.48,100,0,8.39,IL,2022-09-16 18:21:16,clear sky
418,Upata,8.0086,-62.3989,91.18,52,49,5.7,VE,2022-09-16 18:21:17,scattered clouds
419,Yabrud,33.9674,36.6574,69.6,33,0,3.02,SY,2022-09-16 18:21:17,clear sky
420,Ambato,-1.2491,-78.6168,64.8,68,75,7.0,EC,2022-09-16 18:20:27,broken clouds
421,Srivardhan,18.0333,73.0167,77.88,89,100,7.4,IN,2022-09-16 18:21:18,overcast clouds
422,Huarmey,-10.0681,-78.1522,68.07,73,77,10.18,PE,2022-09-16 18:21:19,broken clouds
423,Tefe,-3.3542,-64.7114,91.51,58,75,6.91,BR,2022-09-16 18:21:19,broken clouds
