City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
644,Monte Santo De Minas,BR,79.05,broken clouds,-21.1897,-46.9803,Fazenda Poço Vermelho
646,Angoche,MZ,73.67,clear sky,-16.2325,39.9086,Guest House HESADA
647,Gandai,IN,74.86,overcast clouds,21.6667,81.1,Shree Sai Lodge
653,Ifakara,TZ,78.46,broken clouds,-8.1333,36.6833,Tanzanian Training Centre for International Health
657,Tabatinga,BR,82.49,few clouds,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
663,Fort Atkinson,US,81.25,scattered clouds,42.9289,-88.8371,"Holiday Inn Express & Suites Fort Atkinson, an IHG Hotel"
667,Crotone,IT,83.19,clear sky,39.0851,17.1178,Helios Hotel
669,Mogadouro,PT,76.26,few clouds,41.3403,-6.7119,Pensão Russo
671,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
675,Madison,US,84.94,scattered clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
677,La Palma,US,82.65,scattered clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
679,Kananga,CD,75.79,broken clouds,-5.8958,22.4178,Guest House Wood Land
682,Jhalida,IN,77.79,overcast clouds,23.3667,85.9667,Iloo Sweets & Hotel
685,Gazli,UZ,79.72,scattered clouds,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
689,Senanga,ZM,74.5,clear sky,-16.1167,23.2667,Zango lodge
690,Brigantine,US,80.04,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
700,Rajshahi,BD,80.55,overcast clouds,24.3667,88.6,Anjum Hotel International
701,Palma,ES,80.4,scattered clouds,39.5694,2.6502,Hotel Saratoga
